serial opened /dev/ttyACM0
send wav bytes=124460 crc32=bb518a81 duration=3.89s peak=20865
{'type': 'SPEAK_READY', 'id': 1}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 1024}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 2048}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 3072}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 4096}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 5120}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 6144}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 7168}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 8192}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 9216}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 10240}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 11264}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 12288}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 13312}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 14336}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 15360}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 16384}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 17408}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 18432}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 19456}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 20480}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 21504}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 22528}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 23552}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 24576}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 25600}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 26624}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 27648}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 28672}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 29696}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 30720}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 31744}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 32768}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 33792}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 34816}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 35840}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 36864}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 37888}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 38912}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 39936}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 40960}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 41984}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 43008}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 44032}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 45056}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 46080}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 47104}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 48128}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 49152}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 50176}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 51200}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 52224}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 53248}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 54272}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 55296}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 56320}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 57344}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 58368}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 59392}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 60416}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 61440}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 62464}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 63488}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 64512}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 65536}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 66560}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 67584}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 68608}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 69632}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 70656}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 71680}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 72704}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 73728}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 74752}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 75776}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 76800}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 77824}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 78848}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 79872}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 80896}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 81920}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 82944}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 83968}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 84992}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 86016}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 87040}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 88064}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 89088}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 90112}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 91136}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 92160}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 93184}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 94208}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 95232}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 96256}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 97280}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 98304}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 99328}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 100352}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 101376}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 102400}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 103424}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 104448}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 105472}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 106496}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 107520}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 108544}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 109568}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 110592}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 111616}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 112640}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 113664}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 114688}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 115712}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 116736}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 117760}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 118784}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 119808}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 120832}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 121856}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 122880}
{'type': 'SPEAK_PROGRESS', 'id': 1, 'got': 123904}
{'type': 'SPEAK_RECEIVED', 'id': 1, 'bytes': 124460, 'crc32': 3142683265}
{'type': 'SPEAK_FINISHED', 'id': 1, 'played_ms': 3888}
finished {'type': 'SPEAK_FINISHED', 'id': 1, 'played_ms': 3888}
